Date,Close
12/29/2017,6.33
12/28/2017,6.41
12/27/2017,6.51
12/26/2017,6.61
12/25/2017,6.52
12/22/2017,6.63
12/21/2017,6.68
12/20/2017,6.59
12/19/2017,6.77
12/18/2017,6.71
12/15/2017,6.83
12/14/2017,6.96
12/13/2017,6.99
12/12/2017,6.95
12/11/2017,7.07
12/08/2017,6.98
12/07/2017,6.93
12/06/2017,7.01
12/05/2017,7.05
12/04/2017,7.12
12/01/2017,7.04
11/30/2017,6.96
11/29/2017,7.06
11/28/2017,7.17
11/27/2017,7.12
11/24/2017,7.78
11/23/2017,8.19
11/22/2017,8.18
11/21/2017,8.23
11/20/2017,8.11
11/17/2017,7.97
11/16/2017,7.95
11/15/2017,8.01
11/14/2017,7.85
11/13/2017,8.24
11/10/2017,8.25
11/09/2017,8.19
11/08/2017,7.86
11/07/2017,7.97
11/06/2017,7.57
11/03/2017,7.46
11/02/2017,7.65
11/01/2017,7.8
10/31/2017,7.64
10/30/2017,7.65
10/27/2017,7.35
10/26/2017,7.13
10/25/2017,7.08
10/24/2017,7.06
10/23/2017,7.12
10/20/2017,6.99
10/19/2017,6.92
10/18/2017,7.16
10/17/2017,7.21
10/16/2017,7.21
10/13/2017,7.25
10/12/2017,7.32
10/11/2017,7.15
10/10/2017,7.2
10/09/2017,7.29
09/29/2017,7.42
09/28/2017,7.44
09/27/2017,7.47
09/26/2017,7.32
09/25/2017,7.18
09/22/2017,7.41
09/21/2017,7.48
09/20/2017,7.21
09/19/2017,7.25
09/18/2017,7.32
09/15/2017,7.31
09/14/2017,7.48
09/13/2017,7.48
09/12/2017,7.58
09/11/2017,7.54
09/08/2017,7.74
09/07/2017,7.91
09/06/2017,7.88
09/05/2017,7.89
09/04/2017,8.05
09/01/2017,7.96
08/31/2017,8.04
08/30/2017,8.2
08/29/2017,8.34
08/28/2017,8.35
08/25/2017,8.38
08/24/2017,8.36
08/23/2017,8.96
08/22/2017,9.04
08/21/2017,8.22
03/31/2017,7.47
03/30/2017,7.34
03/29/2017,7.43
03/28/2017,7.44
03/27/2017,7.53
03/24/2017,7.66
03/23/2017,7.79
03/22/2017,7.66
03/21/2017,7.66
03/20/2017,7.77
03/17/2017,7.77
03/16/2017,7.69
03/15/2017,7.48
03/14/2017,7.38
03/13/2017,7.41
03/10/2017,7.78
03/09/2017,7.75
03/08/2017,7.7
03/07/2017,7.16
03/06/2017,7.21
03/03/2017,7.08
03/02/2017,7.12
03/01/2017,7.19
02/28/2017,7.03
02/27/2017,7.03
02/24/2017,7.08
02/23/2017,6.55
02/22/2017,6.59
02/21/2017,6.59
02/20/2017,6.54
02/17/2017,6.5
02/16/2017,6.73
02/15/2017,6.73
02/14/2017,6.82
02/13/2017,6.84
02/10/2017,6.78
02/09/2017,6.79
02/08/2017,6.79
02/07/2017,6.5
02/06/2017,6.52
02/03/2017,6.52
01/26/2017,6.54
01/25/2017,6.58
01/24/2017,6.33
01/23/2017,6.35
01/20/2017,6.32
01/19/2017,6.28
01/18/2017,6.62
01/17/2017,6.57
01/16/2017,6.59
01/13/2017,6.64
01/12/2017,6.68
01/11/2017,6.91
01/10/2017,7.55
01/09/2017,7.71
01/06/2017,7.68
01/05/2017,7.85
01/04/2017,7.44
01/03/2017,7.44
12/30/2016,7.3
12/29/2016,7.55
12/28/2016,7.69
12/27/2016,7.55
12/26/2016,7.82
12/23/2016,7.79
12/22/2016,7.69
12/21/2016,7.37
12/20/2016,7.1
12/19/2016,6.86
12/16/2016,6.8
12/15/2016,6.74
12/14/2016,6.84
12/13/2016,7.23
12/12/2016,6.8
12/09/2016,7.02
12/08/2016,7.02
12/07/2016,6.57
12/06/2016,6.64
12/05/2016,6.78
12/02/2016,6.84
12/01/2016,7.33
11/30/2016,6.69
11/29/2016,6.15
11/28/2016,6.05
11/25/2016,5.92
11/24/2016,5.82
11/23/2016,5.8
11/22/2016,5.99
11/21/2016,5.94
11/18/2016,5.93
11/17/2016,5.96
11/16/2016,5.71
11/15/2016,5.42
11/14/2016,5.55
11/11/2016,5.3
11/10/2016,5.22
11/09/2016,5.18
11/08/2016,5.31
11/07/2016,5.37
11/04/2016,5.4
11/03/2016,5.27
11/02/2016,5.09
11/01/2016,5.19
10/31/2016,5.14
10/28/2016,5.13
10/27/2016,5.19
10/26/2016,5.33
10/25/2016,5.28
10/24/2016,5.33
10/21/2016,5.35
10/20/2016,5.3
10/19/2016,5.3
10/18/2016,5.11
10/17/2016,5.06
10/14/2016,5.16
10/13/2016,4.72
10/12/2016,4.73
10/11/2016,4.8
10/10/2016,4.35
09/30/2016,4.16
09/29/2016,4.17
09/28/2016,4.18
09/27/2016,4.13
09/26/2016,4.11
09/23/2016,4.19
09/22/2016,4.1
09/21/2016,4.09
09/20/2016,4.09
09/19/2016,4.11
09/14/2016,4.09
09/13/2016,4.13
09/12/2016,4.15
09/09/2016,4.25
09/08/2016,4.27
09/07/2016,4.28
09/06/2016,4.28
09/05/2016,4.25
09/02/2016,4.23
09/01/2016,4.23
08/31/2016,4.28
08/30/2016,4.28
08/29/2016,4.26
08/26/2016,4.33
08/25/2016,4.33
08/24/2016,4.38
08/23/2016,4.43
08/22/2016,4.46
08/19/2016,4.56
08/18/2016,4.57
08/17/2016,4.43
08/16/2016,4.48
08/15/2016,4.42
08/12/2016,4.28
08/11/2016,4.22
08/10/2016,4.27
08/09/2016,4.26
08/08/2016,4.25
08/05/2016,4.24
08/04/2016,4.27
08/03/2016,4.26
08/02/2016,4.24
08/01/2016,4.19
07/29/2016,4.26
07/28/2016,4.4
07/27/2016,4.32
07/26/2016,4.29
07/25/2016,4.16
07/22/2016,4.19
07/21/2016,4.21
07/20/2016,4.21
07/19/2016,4.23
07/18/2016,4.29
07/15/2016,4.25
07/14/2016,4.27
07/13/2016,4.34
07/12/2016,4.06
07/11/2016,3.9
07/08/2016,3.91
07/07/2016,3.94
07/06/2016,3.91
07/05/2016,3.91
07/04/2016,3.87
07/01/2016,3.82
06/30/2016,3.81
06/29/2016,3.87
06/28/2016,3.85
06/27/2016,3.86
06/24/2016,3.83
06/23/2016,3.84
06/22/2016,3.84
06/21/2016,3.82
06/20/2016,3.84
06/17/2016,3.84
06/16/2016,3.84
06/15/2016,3.88
06/14/2016,3.85
06/13/2016,3.85
06/08/2016,3.93
06/07/2016,3.94
06/06/2016,3.96
06/03/2016,3.97
06/02/2016,3.96
06/01/2016,3.97
05/31/2016,4.0
05/30/2016,3.89
05/27/2016,3.88
05/26/2016,3.89
05/25/2016,3.87
05/24/2016,3.88
05/23/2016,3.9
05/20/2016,3.87
05/19/2016,3.87
05/18/2016,3.88
05/17/2016,3.92
05/16/2016,3.94
05/13/2016,3.91
05/12/2016,3.92
05/11/2016,3.95
05/10/2016,3.94
05/09/2016,3.92
05/06/2016,4.03
05/05/2016,4.12
05/04/2016,4.12
05/03/2016,4.11
04/29/2016,4.05
04/28/2016,4.07
04/27/2016,4.09
04/26/2016,4.09
04/25/2016,4.09
04/22/2016,4.13
04/21/2016,4.14
04/20/2016,4.19
04/19/2016,4.34
04/18/2016,4.35
04/15/2016,4.42
04/14/2016,4.47
04/13/2016,4.44
04/12/2016,4.38
04/11/2016,4.41
04/08/2016,4.34
04/07/2016,4.42
04/06/2016,4.48
04/05/2016,4.53
04/01/2016,4.55
03/31/2016,4.38
03/30/2016,4.34
03/29/2016,4.22
03/28/2016,4.33
03/25/2016,4.35
03/24/2016,4.4
03/23/2016,4.51
03/22/2016,4.48
03/21/2016,4.52
03/18/2016,4.39
03/17/2016,4.4
03/16/2016,4.37
03/15/2016,4.31
03/14/2016,4.29
03/11/2016,4.24
03/10/2016,4.22
03/09/2016,4.3
03/08/2016,4.35
03/07/2016,4.36
03/04/2016,4.37
03/03/2016,4.27
03/02/2016,4.25
03/01/2016,4.08
02/29/2016,4.02
02/26/2016,4.12
02/25/2016,4.08
02/24/2016,4.46
02/23/2016,4.34
02/22/2016,4.44
02/19/2016,4.27
02/18/2016,4.27
02/17/2016,4.25
02/16/2016,4.17
02/15/2016,4.01
02/05/2016,4.05
02/04/2016,4.13
02/03/2016,4.07
02/02/2016,4.07
02/01/2016,3.96
01/29/2016,4.05
01/28/2016,3.9
01/27/2016,4.08
01/26/2016,4.16
01/25/2016,4.62
01/22/2016,4.65
01/21/2016,4.61
01/20/2016,4.76
01/19/2016,4.87
01/18/2016,4.72
01/15/2016,4.72
01/14/2016,5.0
01/13/2016,4.99
01/12/2016,5.03
01/11/2016,5.04
01/08/2016,5.45
01/07/2016,5.27
01/06/2016,5.76
01/05/2016,5.72
01/04/2016,5.77
12/31/2015,6.19
12/30/2015,6.31
12/29/2015,6.2
12/28/2015,6.28
12/25/2015,6.26
12/24/2015,6.23
12/23/2015,6.28
12/22/2015,6.36
12/21/2015,6.37
12/18/2015,6.29
12/17/2015,6.3
12/16/2015,6.24
12/15/2015,6.15
12/14/2015,6.23
12/11/2015,6.05
12/10/2015,6.07
12/09/2015,6.12
12/08/2015,6.1
12/07/2015,6.25
12/04/2015,6.25
12/03/2015,6.41
12/02/2015,6.41
12/01/2015,6.21
11/30/2015,6.22
11/27/2015,6.22
11/26/2015,6.62
11/25/2015,6.67
11/24/2015,6.65
11/23/2015,6.68
11/20/2015,6.82
11/19/2015,6.83
11/18/2015,6.66
11/17/2015,6.7
11/16/2015,6.71
11/13/2015,6.68
11/12/2015,6.85
11/11/2015,7.03
11/10/2015,6.96
11/09/2015,7.05
11/06/2015,7.04
11/05/2015,7.08
11/04/2015,6.61
11/03/2015,6.34
11/02/2015,6.36
10/30/2015,6.61
10/29/2015,6.64
10/28/2015,6.6
10/27/2015,6.76
10/26/2015,6.83
10/23/2015,6.96
10/22/2015,7.09
10/21/2015,6.84
10/20/2015,6.83
10/19/2015,6.65
10/16/2015,6.83
10/15/2015,6.69
10/14/2015,6.34
10/13/2015,6.34
10/12/2015,6.38
10/09/2015,6.14
10/08/2015,6.14
09/30/2015,6.01
09/29/2015,6.0
09/28/2015,6.14
09/25/2015,6.28
09/24/2015,6.1
09/23/2015,6.08
09/22/2015,6.3
09/21/2015,6.26
09/18/2015,6.18
09/17/2015,6.19
09/16/2015,6.33
09/15/2015,6.04
09/14/2015,6.28
09/11/2015,6.2
09/10/2015,6.25
09/09/2015,6.36
09/08/2015,6.19
09/07/2015,6.17
09/02/2015,6.32
09/01/2015,6.51
08/31/2015,6.55
08/28/2015,6.45
08/27/2015,5.95
08/26/2015,5.58
08/25/2015,5.96
08/24/2015,6.62
08/21/2015,7.33
08/20/2015,7.69
08/19/2015,7.37
08/18/2015,6.7
08/17/2015,7.43
08/14/2015,7.42
08/13/2015,7.19
08/12/2015,7.17
08/11/2015,7.03
08/10/2015,6.91
08/07/2015,6.28
08/06/2015,6.16
08/05/2015,6.26
08/04/2015,6.44
08/03/2015,6.27
07/31/2015,6.18
07/30/2015,6.17
07/29/2015,6.42
07/28/2015,6.08
07/27/2015,6.44
07/24/2015,7.15
07/23/2015,7.42
07/22/2015,7.0
07/21/2015,7.15
07/20/2015,7.11
07/17/2015,7.22
07/16/2015,6.92
07/15/2015,6.91
07/14/2015,7.28
07/13/2015,7.81
07/10/2015,7.86
07/09/2015,7.21
07/08/2015,6.52
07/07/2015,7.22
07/06/2015,7.23
07/03/2015,6.76
07/02/2015,7.12
07/01/2015,7.19
06/30/2015,7.33
06/29/2015,6.68
06/26/2015,7.02
06/25/2015,7.8
06/24/2015,8.2
06/23/2015,7.77
06/19/2015,7.68
06/18/2015,8.46
06/17/2015,8.87
06/16/2015,8.54
06/15/2015,9.29
06/12/2015,9.75
06/11/2015,9.73
06/10/2015,9.92
06/09/2015,10.29
06/08/2015,10.13
06/05/2015,9.22
06/04/2015,8.96
06/03/2015,9.07
06/02/2015,9.15
06/01/2015,8.85
05/29/2015,8.59
05/28/2015,8.99
05/27/2015,8.9
05/26/2015,9.15
05/25/2015,9.24
05/22/2015,9.02
05/21/2015,8.67
05/20/2015,8.47
05/19/2015,8.51
05/18/2015,8.24
05/15/2015,8.52
05/14/2015,8.87
05/13/2015,8.81
05/12/2015,9.22
05/11/2015,8.94
05/08/2015,8.72
05/07/2015,8.56
05/06/2015,9.04
05/05/2015,8.95
05/04/2015,9.95
04/30/2015,9.52
04/29/2015,9.96
04/28/2015,10.55
04/27/2015,9.99
04/24/2015,9.09
04/23/2015,8.79
04/22/2015,8.0
04/21/2015,7.99
04/20/2015,7.78
04/17/2015,7.08
04/16/2015,6.64
04/15/2015,6.15
04/14/2015,6.18
04/13/2015,6.28
04/10/2015,6.12
04/09/2015,6.02
04/08/2015,6.18
04/07/2015,6.14
04/03/2015,5.95
04/02/2015,5.97
04/01/2015,6.02
03/31/2015,5.46
03/30/2015,5.61
03/27/2015,5.4
03/26/2015,5.44
03/25/2015,5.35
03/24/2015,5.49
03/23/2015,5.62
03/20/2015,5.56
03/19/2015,5.64
03/18/2015,5.53
03/17/2015,5.44
03/16/2015,5.34
03/13/2015,5.25
03/12/2015,5.26
03/11/2015,5.16
03/10/2015,5.18
03/09/2015,5.26
03/06/2015,5.21
03/05/2015,5.29
03/04/2015,5.4
03/03/2015,5.37
03/02/2015,5.59
