Date,Close
2015-03-02,5.59
2015-03-03,5.37
2015-03-04,5.4
2015-03-05,5.29
2015-03-06,5.21
2015-03-09,5.26
2015-03-10,5.18
2015-03-11,5.16
2015-03-12,5.26
2015-03-13,5.25
2015-03-16,5.34
2015-03-17,5.44
2015-03-18,5.53
2015-03-19,5.64
2015-03-20,5.56
2015-03-23,5.62
2015-03-24,5.49
2015-03-25,5.35
2015-03-26,5.44
2015-03-27,5.4
2015-03-30,5.61
2015-03-31,5.46
2015-04-01,6.02
2015-04-02,5.97
2015-04-03,5.95
2015-04-07,6.14
2015-04-08,6.18
2015-04-09,6.02
2015-04-10,6.12
2015-04-13,6.28
2015-04-14,6.18
2015-04-15,6.15
2015-04-16,6.64
2015-04-17,7.08
2015-04-20,7.78
2015-04-21,7.99
2015-04-22,8.0
2015-04-23,8.79
2015-04-24,9.09
2015-04-27,9.99
2015-04-28,10.55
2015-04-29,9.96
2015-04-30,9.52
2015-05-04,9.95
2015-05-05,8.95
2015-05-06,9.04
2015-05-07,8.56
2015-05-08,8.72
2015-05-11,8.94
2015-05-12,9.22
2015-05-13,8.81
2015-05-14,8.87
2015-05-15,8.52
2015-05-18,8.24
2015-05-19,8.51
2015-05-20,8.47
2015-05-21,8.67
2015-05-22,9.02
2015-05-25,9.24
2015-05-26,9.15
2015-05-27,8.9
2015-05-28,8.99
2015-05-29,8.59
2015-06-01,8.85
2015-06-02,9.15
2015-06-03,9.07
2015-06-04,8.96
2015-06-05,9.22
2015-06-08,10.13
2015-06-09,10.29
2015-06-10,9.92
2015-06-11,9.73
2015-06-12,9.75
2015-06-15,9.29
2015-06-16,8.54
2015-06-17,8.87
2015-06-18,8.46
2015-06-19,7.68
2015-06-23,7.77
2015-06-24,8.2
2015-06-25,7.8
2015-06-26,7.02
2015-06-29,6.68
2015-06-30,7.33
2015-07-01,7.19
2015-07-02,7.12
2015-07-03,6.76
2015-07-06,7.23
2015-07-07,7.22
2015-07-08,6.52
2015-07-09,7.21
2015-07-10,7.86
2015-07-13,7.81
2015-07-14,7.28
2015-07-15,6.91
2015-07-16,6.92
2015-07-17,7.22
2015-07-20,7.11
2015-07-21,7.15
2015-07-22,7.0
2015-07-23,7.42
2015-07-24,7.15
2015-07-27,6.44
2015-07-28,6.08
2015-07-29,6.42
2015-07-30,6.17
2015-07-31,6.18
2015-08-03,6.27
2015-08-04,6.44
2015-08-05,6.26
2015-08-06,6.16
2015-08-07,6.28
2015-08-10,6.91
2015-08-11,7.03
2015-08-12,7.17
2015-08-13,7.19
2015-08-14,7.42
2015-08-17,7.43
2015-08-18,6.7
2015-08-19,7.37
2015-08-20,7.69
2015-08-21,7.33
2015-08-24,6.62
2015-08-25,5.96
2015-08-26,5.58
2015-08-27,5.95
2015-08-28,6.45
2015-08-31,6.55
2015-09-01,6.51
2015-09-02,6.32
2015-09-07,6.17
2015-09-08,6.19
2015-09-09,6.36
2015-09-10,6.25
2015-09-11,6.2
2015-09-14,6.28
2015-09-15,6.04
2015-09-16,6.33
2015-09-17,6.19
2015-09-18,6.18
2015-09-21,6.26
2015-09-22,6.3
2015-09-23,6.08
2015-09-24,6.1
2015-09-25,6.28
2015-09-28,6.14
2015-09-29,6.0
2015-09-30,6.01
2015-10-08,6.14
2015-10-09,6.14
2015-10-12,6.38
2015-10-13,6.34
2015-10-14,6.34
2015-10-15,6.69
2015-10-16,6.83
2015-10-19,6.65
2015-10-20,6.83
2015-10-21,6.84
2015-10-22,7.09
2015-10-23,6.96
2015-10-26,6.83
2015-10-27,6.76
2015-10-28,6.6
2015-10-29,6.64
2015-10-30,6.61
2015-11-02,6.36
2015-11-03,6.34
2015-11-04,6.61
2015-11-05,7.08
2015-11-06,7.04
2015-11-09,7.05
2015-11-10,6.96
2015-11-11,7.03
2015-11-12,6.85
2015-11-13,6.68
2015-11-16,6.71
2015-11-17,6.7
2015-11-18,6.66
2015-11-19,6.83
2015-11-20,6.82
2015-11-23,6.68
2015-11-24,6.65
2015-11-25,6.67
2015-11-26,6.62
2015-11-27,6.22
2015-11-30,6.22
2015-12-01,6.21
2015-12-02,6.41
2015-12-03,6.41
2015-12-04,6.25
2015-12-07,6.25
2015-12-08,6.1
2015-12-09,6.12
2015-12-10,6.07
2015-12-11,6.05
2015-12-14,6.23
