Date,Close
2015-01-12,"62,90"
2015-01-13,"60,31"
2015-01-14,"60,05"
2015-01-15,"61,80"
2015-01-16,"61,99"
2015-01-19,"61,80"
2015-01-20,"60,80"
2015-01-21,"62,80"
2015-01-22,"64,35"
2015-01-23,"64,45"
2015-01-26,"60,49"
2015-01-27,"61,20"
2015-01-28,"60,63"
2015-01-29,"60,50"
2015-01-30,"61,50"
2015-02-02,"61,40"
2015-02-03,"62,00"
2015-02-04,"61,04"
2015-02-05,"62,41"
2015-02-06,"64,31"
2015-02-09,"65,57"
2015-02-10,"65,00"
2015-02-11,"65,12"
2015-02-12,"67,21"
2015-02-13,"70,60"
2015-02-16,"70,00"
2015-02-17,"72,45"
2015-02-18,"76,40"
2015-02-19,"73,78"
2015-02-20,"74,75"
2015-02-24,"73,70"
2015-02-25,"74,20"
2015-02-26,"75,95"
2015-02-27,"75,91"
2015-03-02,"76,20"
2015-03-03,"75,55"
2015-03-04,"72,31"
2015-03-05,"72,70"
2015-03-06,"73,25"
2015-03-10,"69,80"
2015-03-11,"70,68"
2015-03-12,"70,79"
2015-03-13,"67,87"
2015-03-16,"65,57"
2015-03-17,"64,65"
2015-03-18,"65,26"
2015-03-19,"64,90"
2015-03-20,"67,00"
2015-03-23,"65,00"
2015-03-24,"65,60"
2015-03-25,"64,80"
2015-03-26,"62,85"
2015-03-27,"61,00"
2015-03-30,"63,01"
2015-03-31,"62,88"
2015-04-01,"64,50"
2015-04-02,"65,92"
2015-04-03,"65,50"
2015-04-06,"68,99"
2015-04-07,"69,60"
2015-04-08,"69,40"
2015-04-09,"72,00"
2015-04-10,"71,50"
2015-04-13,"74,10"
2015-04-14,"74,05"
2015-04-15,"76,49"
2015-04-16,"76,50"
2015-04-17,"72,50"
2015-04-20,"73,50"
2015-04-21,"75,24"
2015-04-22,"73,90"
2015-04-23,"75,80"
2015-04-24,"75,75"
2015-04-27,"75,20"
2015-04-28,"75,70"
2015-04-29,"75,20"
2015-04-30,"76,90"
2015-05-05,"80,21"
2015-05-06,"79,20"
2015-05-07,"76,50"
2015-05-08,"75,50"
2015-05-12,"75,19"
2015-05-13,"75,24"
2015-05-14,"74,31"
2015-05-15,"75,05"
2015-05-18,"75,36"
2015-05-19,"73,35"
2015-05-20,"71,60"
2015-05-21,"73,25"
2015-05-22,"74,35"
2015-05-25,"74,46"
2015-05-26,"74,67"
2015-05-27,"74,23"
2015-05-28,"73,60"
2015-05-29,"73,50"
2015-06-01,"72,65"
2015-06-02,"73,92"
2015-06-03,"71,72"
2015-06-04,"71,25"
2015-06-05,"70,61"
2015-06-08,"69,17"
2015-06-09,"70,21"
2015-06-10,"71,51"
2015-06-11,"72,55"
2015-06-15,"71,80"
2015-06-16,"73,50"
2015-06-17,"72,81"
2015-06-18,"72,98"
2015-06-19,"71,56"
2015-06-22,"72,00"
2015-06-23,"72,01"
2015-06-24,"71,98"
2015-06-25,"71,42"
2015-06-26,"70,60"
2015-06-29,"70,20"
2015-06-30,"72,35"
2015-07-01,"71,00"
2015-07-02,"70,54"
2015-07-03,"70,67"
2015-07-06,"68,45"
2015-07-07,"68,77"
2015-07-08,"67,73"
2015-07-09,"69,35"
2015-07-10,"71,06"
2015-07-13,"72,94"
2015-07-14,"73,90"
2015-07-15,"74,00"
2015-07-16,"74,21"
2015-07-17,"75,52"
2015-07-20,"74,10"
2015-07-21,"75,55"
2015-07-22,"74,60"
2015-07-23,"72,70"
2015-07-24,"70,45"
