Date,Close
2015-03-02,29.88
2015-03-03,28.63
2015-03-04,28.38
2015-03-05,28.28
2015-03-06,28.11
2015-03-09,27.66
2015-03-10,27.53
2015-03-11,27.45
2015-03-12,28.2
2015-03-13,28.23
2015-03-16,28.77
2015-03-17,29.63
2015-03-18,29.98
2015-03-19,29.69
2015-03-20,32.35
2015-03-23,33.31
2015-03-24,32.45
2015-03-25,32.39
2015-03-26,32.01
2015-03-27,32.13
2015-03-30,32.91
2015-03-31,32.82
2015-04-01,33.94
2015-04-02,33.45
2015-04-03,34.21
2015-04-07,34.65
2015-04-08,36.09
2015-04-09,35.77
2015-04-10,35.83
2015-04-13,35.39
2015-04-14,35.19
2015-04-15,34.06
2015-04-16,34.99
2015-04-17,35.14
2015-04-20,33.64
2015-04-21,35.1
2015-04-22,37.85
2015-04-23,36.84
2015-04-24,35.39
2015-04-27,35.75
2015-04-28,35.52
2015-04-29,35.59
2015-04-30,34.36
2015-05-04,33.76
2015-05-05,33.08
2015-05-06,33.3
2015-05-07,33.15
2015-05-08,33.33
2015-05-11,33.97
2015-05-12,34.41
2015-05-13,33.37
2015-05-14,33.1
2015-05-15,31.96
2015-05-18,30.96
2015-05-19,33.02
2015-05-20,32.4
2015-05-21,32.32
2015-05-22,33.13
2015-05-25,34.25
2015-05-26,34.39
2015-05-27,33.92
2015-05-28,30.74
2015-05-29,30.38
2015-06-01,32.53
2015-06-02,32.03
2015-06-03,31.7
2015-06-04,32.23
2015-06-05,31.9
2015-06-08,33.49
2015-06-09,33.18
2015-06-10,32.67
2015-06-11,32.08
2015-06-12,32.01
2015-06-15,31.15
2015-06-16,31.27
2015-06-17,31.34
2015-06-18,29.93
2015-06-19,28.35
2015-06-23,29.25
2015-06-24,29.04
2015-06-25,28.65
2015-06-26,26.06
2015-06-29,24.58
2015-06-30,26.93
2015-07-01,25.38
2015-07-02,25.5
2015-07-03,24.96
2015-07-06,26.66
2015-07-07,26.07
2015-07-08,23.43
2015-07-09,25.77
2015-07-10,27.7
2015-07-13,27.41
2015-07-14,25.65
2015-07-15,24.71
2015-07-16,24.48
2015-07-17,25.39
2015-07-20,24.56
2015-07-21,24.45
2015-07-22,24.02
2015-07-23,24.55
2015-07-24,23.9
2015-07-27,21.51
2015-07-28,22.18
2015-07-29,21.98
2015-07-30,20.86
2015-07-31,20.79
2015-08-03,20.44
2015-08-04,21.04
2015-08-05,20.3
2015-08-06,19.86
2015-08-07,20.28
2015-08-10,22.31
2015-08-11,22.12
2015-08-12,21.98
2015-08-13,22.16
2015-08-14,22.46
2015-08-17,21.98
2015-08-18,20.31
2015-08-19,20.64
2015-08-20,19.76
2015-08-21,18.22
2015-08-24,16.38
2015-08-25,14.74
2015-08-26,14.35
2015-08-27,15.39
2015-08-28,15.87
2015-08-31,15.08
2015-09-01,15.17
2015-09-02,14.86
2015-09-07,14.75
2015-09-08,15.24
2015-09-09,15.68
2015-09-10,15.13
2015-09-11,15.01
2015-09-14,13.91
2015-09-15,13.52
2015-09-16,14.46
2015-09-17,13.83
2015-09-18,13.79
2015-09-21,13.93
2015-09-22,14.23
2015-09-23,13.65
2015-09-24,13.78
2015-09-25,13.3
2015-09-28,13.45
2015-09-29,13.35
2015-09-30,13.58
2015-10-08,14.25
2015-10-09,14.48
2015-10-12,15.37
2015-10-13,15.27
2015-10-14,15.27
2015-10-15,15.71
2015-10-16,15.9
2015-10-19,16.12
2015-10-20,16.04
2015-10-21,14.95
2015-10-22,15.36
2015-10-23,15.68
2015-10-26,15.85
2015-10-27,15.73
2015-10-28,15.26
2015-10-29,15.29
2015-10-30,15.86
2015-11-02,15.58
2015-11-03,15.78
2015-11-04,17.35
2015-11-05,18.63
2015-11-06,20.5
2015-11-09,20.38
2015-11-10,20.68
2015-11-11,20.87
2015-11-12,20.19
2015-11-13,20.27
2015-11-16,19.88
2015-11-17,20.21
2015-11-18,20.78
2015-11-19,21.16
2015-11-20,20.54
2015-11-23,20.09
2015-11-24,20.3
2015-11-25,20.15
2015-11-26,19.89
2015-11-27,17.9
2015-11-30,17.63
2015-12-01,17.79
2015-12-02,18.83
2015-12-03,18.74
2015-12-04,18.24
2015-12-07,17.91
2015-12-08,17.64
2015-12-09,17.8
2015-12-10,17.83
2015-12-11,17.86
2015-12-14,19.47
2015-12-15,18.73
2015-12-16,18.62
2015-12-17,19.04
2015-12-18,18.87
2015-12-21,19.63
2015-12-22,19.93
2015-12-23,21.16
2015-12-24,20.67
2015-12-25,20.77
2015-12-28,19.55
2015-12-29,19.84
2015-12-30,19.72
2015-12-31,19.36
2016-01-04,17.48
2016-01-05,17.65
2016-01-06,17.93
2016-01-07,16.22
2016-01-08,16.84
2016-01-11,15.65
2016-01-12,15.89
2016-01-13,15.89
